#
#     This simple VLSR catalog can be used (right now it has to) in case ADMIT cannot
#     figure out the VLSR of a source to aid the LineID.
#     It is suggested that source names are in upper case, although the default in
#     ADMIT is now (nov 2015) that we compare in upper case.
#
#     There is a alternate (NED based) method in VLSR.py as well, but that only works
#     for galaxies of course.
#
#     We are using the RADIO convention of radial velocity, ie.
#                  vrad = c * z / (1 + z)
#     with c = 299792.458
#
# Name             VLSR
# !UPPER_CASE!     km/s
NGC253            236.0     # test253_spw*
NGC1097          1256.0     # 2012.1.00001.S
NGC3256          2794.2     # test0 (foobar.fits)
NGC4038          1639.0     # test4
NGC4945           558.0
NGC6503            25.0     # test6503 (HELIO=25 LSR=40)   Greisen:   28.5 \pm 0.3
M83               514.0     # test6 
185                 4.0     # test201
188                 4.0     # test202
SERPENS_MAIN        8.0     # CLASSy
SERPSNW             8.0     # CLASSy
'L1551 NE'          7.0     # test1 (should be 6.9 ???)
"L1551 SE"          7.0     #
B1S                 6.5     # CLASSy
L1451               4.0     # CLASSy, aka B1E
SERPM               8.0     # CLASSy
SVS13               8.0     # CLASSy, in N1333
SERPS               8.0     # CLASSy
ST11              280.0     # in the LMC, but not sure if the VLSR to close enough
AS_209              4.3     # 2013.1.00226.S    'IM Lup'
HD163296            6.6     # -4.0 (helio) + 10.6      2010.....    SV     
HD_163296           6.6     # same, but in 2012.1.00681.S, it's in LSRK frame !!
'IRAS 16293-2422-a' 3.0     # <3.0> for A, and <2.7> for B  (err ~ 0.1-0.2)
IRAS16293_AB        3.0     # 2013.1.00061.S
IRAS_16293-2422     3.0     # 2012.1.00712.S
IRC+10216         -26.0     # aka CW Leo
'DM TAU'            6.0     # 2011.0.00629.S source3   ??? SIMBAD: a 1949 reference claims -18 km/s ???
'MWC 480'           5.0     # 2011.0.00629.S source4  (see also 2013.1.00226)
MRC_0152-209   197166.0     # 2013.1.00521.S z=1.9212 (test13)
MRC_1138-262   204801.0     # 2012.1.01087.S z=2.156
Cha-MMS1            4.4     # test3.fits
H-ATLAS_J090740.0-004200    183459.0       # test7.fits: zlens=0.6129 zsource=1.577
W_Aql              -5.6     #  HELIO -18.0 dVlsr=12.4
#
#  EGNoG survey (only used 9 strongest detections)
#  Notice they fake the CO RESTFREQ and put VRAD=0 at the catalog redshift
#  Here we then use vrad = c*z/(1+z)  where z is the optical z from their catalog
#
LSTB2       22458.0    # 0.080978   # =A5
REPSAM15    23104.0    # 0.083503   # =A13
B2          48240.0    # 0.191773 
B3          42623.0    # 0.165737 
B4          44232.0    # 0.173078 
B5          46303.0    # 0.182661 
B7          44906.0    # 0.176180 
B10         47914.0    # 0.190227 
C2          69293.0    # 0.300622
#
#  EDGE survey (125 galaxies)
#  NGC 0444 is a dubious case, should not be in sample, but included for reference, making the sample 126
ARP220       5341.0
IC0480       4493.0
IC0540       2057.0
IC0944       6843.0
IC1151       2160.0
IC1199       4663.0
IC1683       4775.0
IC2247       4262.0
IC2487       4292.0
IC4566       5479.0
IC5376       4951.0
NGC0444      4839.0
NGC0447      5490.0
NGC0477      5751.0
NGC0496      5894.0
NGC0523      4786.0
NGC0528      4746.0
NGC0551      5113.0
NGC1167      4851.0
NGC2253      3542.0
NGC2347      4389.0
NGC2410      4602.0
NGC2480      2321.0
NGC2481      2172.0
NGC2486      4570.0
NGC2487      4759.0
NGC2623      5438.0
NGC2639      3219.0
NGC2730      3795.0
NGC2880      1530.0
NGC2906      2125.0
NGC2916      3684.0
NGC2918      6615.0
NGC3303      6278.0     # 5878.0 was in the original catalog, appears to be wrong
NGC3381      1615.0
NGC3687      2480.0
NGC3811      3041.0
NGC3815      3668.0
NGC3994      3058.0
NGC4047      3402.0
NGC4149      3048.0
NGC4185      3834.0
NGC4210      2693.0
NGC4211N     6543.0
NGC4470      2340.0
NGC4644      4853.0
